Unnamed: 0,match_id,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_mean_diff,p_total_time_played_std_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_mean_diff,ph_wins_std_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_mean_diff,ph_kills_std_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_mean_diff,ph_deaths_std_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_mean_diff,ph_assists_std_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_mean_diff,ph_damage_per_min_std_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_mean_diff,ph_time_played_std_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_mean_diff,ph_total_kd_std_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_mean_diff,ph_kd_ratio_std_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_mean_diff,ph_time_played_ratio_std_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_mean_diff,ph_damage_per_min_ratio_std_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_mean_diff,ph_assists_ratio_std_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_mean_diff,ph_win_rate_ratio_std_diff,target
12,38650959,-1233479,420687,-402532.67,684552.49,-18,294,-2.5,125.23,-95,6992,787.67,2895.25,-282,3054,-191.67,1341.48,-408,6440,40.33,2855.78,310.89,-30.76,96.66,-147.91,-57794,995511,-969.67,434856.19,0.28,0.9,0.56,0.2,-0.63,-1.17,-0.7,-0.24,-0.63,0.36,-1.78,0.58,0.39,0.07,0.18,-0.09,-0.7,0.26,-1.86,0.6,-0.04,-0.16,-0.07,-0.0,N
305,38692582,437806,2516407,560014.0,805742.89,-3,396,113.17,148.81,-13,5950,1510.0,2135.62,-11,3453,1020.67,1288.63,-102,7887,2358.17,3136.1,373.48,144.1,181.28,-64.21,-19392,1424944,386103.67,533997.81,0.2,0.16,0.23,0.06,0.09,-0.21,-0.11,-0.06,0.18,15.14,4.42,5.78,0.38,0.15,0.14,-0.08,0.13,15.54,4.7,6.17,0.16,0.12,0.06,-0.01,Y
25,38653895,288915,-1594739,-671998.5,-470952.63,3,-392,-139.83,-132.16,18,-8153,-1999.0,-2956.31,70,-6374,-1919.0,-2219.89,117,-6241,-2660.67,-2191.86,-175.49,80.67,-69.14,48.87,13734,-1260132,-440348.5,-435441.85,0.06,-0.4,-0.02,-0.18,0.01,0.2,0.06,0.06,0.09,-31.98,-7.89,-11.93,-0.39,0.11,-0.1,0.14,0.11,-40.73,-9.3,-15.41,-0.15,-0.11,-0.09,0.01,Y
527,38717003,547861,-223088,556370.5,-380868.61,-12,-190,3.17,-75.0,-174,-3141,13.5,-1210.32,68,-2268,-35.67,-891.29,102,-4643,25.17,-1756.97,-64.14,-250.26,-87.35,-72.33,5689,-743136,21987.83,-282826.03,-0.08,-4.33,-0.64,-1.71,0.56,-0.28,-0.07,-0.3,0.24,-0.18,1.34,0.04,-0.09,-0.13,-0.02,0.0,0.17,1.34,1.78,0.68,-0.39,-0.36,-0.18,0.01,N
169,38672420,879689,1163469,1442941.5,79898.3,7,475,157.5,157.1,212,4079,2163.5,1228.73,469,6399,1871.5,2126.28,135,8947,2732.33,2834.81,136.11,195.67,-9.23,25.54,90672,1803470,565335.17,581404.69,0.19,-1.08,-0.01,-0.44,0.04,-0.25,-0.17,-0.15,0.53,22.34,6.2,7.14,-0.04,0.08,0.01,0.05,0.08,18.31,5.45,5.78,-0.02,-0.37,-0.12,-0.14,Y
493,38713063,-136901,1426121,466019.0,819945.4,11,402,118.33,164.98,144,5582,1863.33,2232.34,117,6010,1564.17,2286.7,142,7323,2441.17,3490.78,177.46,-2.0,65.26,-64.39,27881,1318161,426226.83,580727.01,0.33,-0.02,-0.01,-0.2,0.08,-0.08,0.02,-0.15,0.19,20.56,6.23,9.15,0.01,0.07,0.05,0.0,0.19,24.19,7.25,10.68,-0.03,0.01,-0.06,0.03,Y
528,38717006,495323,4151452,1342625.0,1470942.37,25,420,201.17,129.85,449,6021,2725.67,2165.61,297,4519,1925.17,1382.34,797,7163,3882.17,2183.7,-433.99,-114.14,-134.0,96.36,87814,1513789,673257.5,463251.13,-0.26,1.02,0.1,0.39,-0.26,0.02,-0.09,0.08,0.67,16.15,6.83,5.16,-0.31,-0.03,-0.13,0.07,1.03,14.62,6.93,4.62,0.08,-0.18,-0.06,-0.09,N
245,38684975,142764,61243,-76338.17,78935.56,-54,-414,-131.83,-135.25,-1057,-4314,-1931.83,-1191.14,-399,-2812,-975.33,-879.58,-1244,-5157,-1971.0,-1502.72,102.06,-114.39,-24.09,-82.31,-160418,-1129362,-383978.83,-362007.03,-0.37,-0.8,-0.62,-0.22,0.35,0.25,0.26,-0.04,-0.81,-12.27,-4.51,-3.92,0.05,-0.17,-0.09,-0.09,-1.04,-10.27,-4.1,-3.1,-0.44,-0.08,-0.14,0.13,N
298,38691657,-380069,-1457137,411725.33,-400271.45,-9,368,55.33,145.19,-174,5951,990.17,2291.6,-148,3280,571.5,1255.64,-230,7669,1183.67,3021.58,-292.35,43.26,-60.69,112.41,-33833,1368352,231913.0,527251.09,-0.44,0.33,-0.03,0.33,-0.27,0.32,0.05,0.28,-0.41,13.82,2.49,5.55,-0.22,-0.04,-0.09,0.07,-0.52,14.58,2.27,5.92,-0.14,-0.22,-0.13,-0.03,N
446,38708291,500343,-765080,5172.67,-276583.45,-8,-207,-113.33,-98.28,-46,-4275,-1809.17,-1718.45,-44,-2088,-1079.33,-989.67,-191,-3124,-2079.0,-1568.82,-1.8,-242.34,-80.47,-115.44,-20527,-632682,-360141.17,-303252.76,-0.34,-1.04,-0.47,-0.23,0.16,0.8,0.47,0.31,-0.25,-6.92,-3.62,-3.09,-0.06,-0.09,-0.11,0.03,-0.32,-7.32,-3.82,-3.17,-0.43,0.02,-0.11,0.11,N
272,38688994,-543652,2229148,999106.83,411759.11,-20,-1049,-218.33,-410.77,14,-3590,-1124.17,-1398.74,-16,-14502,-2692.17,-5784.93,-146,-27280,-5280.83,-10873.58,373.84,-105.07,119.15,-178.93,-31971,-3459884,-695827.0,-1370714.92,0.49,-0.49,-0.01,-0.41,0.08,-0.51,-0.12,-0.32,-0.42,-37.99,-8.14,-14.96,0.26,0.14,0.09,-0.05,-0.34,-45.75,-9.59,-18.11,-0.14,-0.2,-0.16,-0.02,N
154,38670407,751278,-3720568,-546727.83,-1412843.83,1,-1143,-204.67,-458.23,8,-16711,-3074.17,-6717.88,7,-15139,-2731.67,-6090.62,62,-34135,-6003.5,-13425.57,-22.58,266.79,24.47,87.1,1373,-3984411,-723053.33,-1595349.9,-0.06,0.46,0.04,0.16,-0.12,-0.02,0.08,0.0,0.02,-33.7,-6.99,-13.28,0.02,0.2,-0.01,0.07,0.14,-47.85,-9.2,-18.69,0.08,0.19,0.06,0.06,Y
