account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth,winning_team,win
298155885,38709997,Team0,58,6,9,4,0,30586,Team1,N
1612215488,38709997,Team1,10,6,3,18,4,32135,Team1,Y
1482863137,38710106,Team1,15,6,0,14,1,34883,Team1,Y
157085743,38710106,Team1,19,5,7,9,2,27632,Team1,Y
1118069185,38710106,Team0,18,1,9,5,1,24454,Team1,N
1679123205,38710106,Team1,11,2,5,19,1,25736,Team1,Y
1673876903,38710106,Team1,2,11,3,8,6,40360,Team1,Y
40204155,38710106,Team1,4,4,4,9,7,30973,Team1,Y
1557303666,38710106,Team1,14,11,1,14,0,30823,Team1,Y
86383666,38710106,Team0,10,0,5,1,2,23016,Team1,N
423660814,38710106,Team0,16,3,6,8,1,28822,Team1,N
1726667104,38710106,Team0,3,4,6,9,2,21650,Team1,N
1081131742,38710106,Team0,13,9,7,7,2,28920,Team1,N
53761619,38710106,Team0,50,3,7,3,4,24366,Team1,N
1150831835,38710396,Team1,50,10,2,14,3,37264,Team1,Y
1255354474,38710396,Team0,8,4,6,9,3,33291,Team1,N
1752792693,38710396,Team0,12,4,7,8,3,28455,Team1,N
1144439143,38710396,Team1,3,6,4,17,0,29395,Team1,Y
130143991,38710396,Team1,2,3,3,17,3,35592,Team1,Y
131256035,38710396,Team0,10,2,7,10,5,25993,Team1,N
141680443,38710396,Team0,1,2,7,8,5,27749,Team1,N
1009703898,38710396,Team1,19,18,5,7,1,34776,Team1,Y
298155885,38710396,Team0,16,16,10,6,0,30284,Team1,N
328181450,38710396,Team0,13,3,9,10,0,26309,Team1,N
230517301,38710396,Team1,7,5,7,10,8,32143,Team1,Y
451711628,38710396,Team1,31,4,11,16,0,25364,Team1,Y
1650097169,38710555,Team0,13,15,3,12,1,42748,Team0,Y
165064062,38710555,Team0,4,8,5,11,2,31562,Team0,Y
414269598,38710555,Team1,20,5,6,13,3,24415,Team0,N
1110488381,38710555,Team1,1,4,8,5,1,30690,Team0,N
1612688719,38710555,Team1,10,5,9,15,2,27597,Team0,N
1698289940,38710555,Team1,15,12,5,11,3,37084,Team0,N
