account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth
1858023246,38608690,Team1,18,6,4,12,1,38628
111750713,38608829,Team1,2,8,7,21,5,36610
107632839,38608829,Team0,16,4,9,15,1,29827
98515926,38608829,Team1,8,5,7,33,3,36802
80478980,38608829,Team0,19,16,9,7,3,30093
888853854,38608829,Team0,1,9,5,10,3,46874
25017556,38608829,Team1,31,6,3,31,4,37256
1423197814,38608829,Team1,27,15,8,26,1,34974
1854526514,38608829,Team1,11,5,6,39,0,33117
900440203,38608829,Team1,7,10,7,15,3,40858
81280803,38608829,Team0,18,3,7,19,1,31832
131256035,38608829,Team0,13,4,9,18,1,29979
148319868,38608829,Team0,58,2,10,13,2,30720
443785146,38608960,Team0,27,3,1,15,1,29412
1849052923,38608960,Team0,15,8,4,11,8,31051
1922425418,38608960,Team1,7,2,8,5,8,24936
308362270,38608960,Team0,50,15,1,11,5,44762
292066702,38608960,Team1,18,2,6,9,1,25435
925866735,38608960,Team1,10,3,10,9,4,20285
39226397,38608960,Team0,1,6,3,8,5,34589
72568913,38608960,Team1,17,7,6,7,2,25779
1896932924,38608960,Team0,31,10,4,9,1,29863
414858274,38608960,Team1,11,5,5,6,0,21133
210593923,38608960,Team0,20,2,7,13,3,27082
236599146,38608960,Team1,4,1,9,5,0,25131
914316537,38608978,Team0,15,9,8,12,1,35355
170322445,38608978,Team0,31,8,3,23,1,42032
87766026,38608978,Team1,25,6,8,6,2,42922
42084204,38608978,Team1,11,2,9,10,0,28004
230517301,38608978,Team0,2,10,8,20,1,40785
37816313,38608978,Team0,20,8,5,30,2,39068
101236355,38608978,Team0,3,9,12,25,1,37542
133308331,38608978,Team1,8,10,13,12,0,35566
121250874,38608978,Team1,13,8,10,8,1,37079
323142724,38608978,Team1,4,12,9,12,2,39926
120596979,38608978,Team1,1,6,13,8,2,36726
74744539,38608978,Team0,27,18,9,19,1,39747
896909867,38609045,Team1,12,3,8,12,1,29540
861322129,38609045,Team1,1,8,7,12,1,38065
119032604,38609045,Team0,52,10,8,18,0,43113
295170811,38609045,Team1,13,4,4,5,0,32241
1196446798,38609045,Team0,3,2,7,17,0,30903
7910302,38609045,Team0,7,4,4,16,4,50397
78254031,38609045,Team0,15,9,5,19,4,36817
898091683,38609045,Team0,18,3,9,17,2,32047
1131162604,38609045,Team1,25,0,7,12,1,33610
44035503,38609045,Team1,14,16,4,12,3,45358
337523871,38609045,Team0,31,9,7,7,4,30314
197222765,38609045,Team1,58,8,8,7,0,40970
1845062151,38609155,Team0,18,9,3,17,3,39332
240942631,38609155,Team0,3,15,0,14,2,45958
156468943,38609155,Team0,31,4,2,17,5,30508
78763112,38609155,Team1,50,6,8,6,4,31553
1745708053,38609155,Team1,27,1,5,7,2,31382
