,account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth,winning_team,win,matches_played,total_kills,total_deaths,total_assists,avg_kd,win_rate,total_time_played,kd,h_kd,kd_ratio
874,97533101,38715960,Team1,27,13,12,12,3,40328,Team0,N,1573,14226,9189,16916,1.5481554031994775,0.5588048315321043,2714842,1.0833333333333333,1.4563440829223573,0.7438718267454172
875,130143991,38715960,Team0,1,6,7,18,5,44006,Team0,Y,1490,12071,10005,13756,1.206496751624188,0.5503355704697986,2564707,0.8571428571428571,1.4021852871852871,0.6112907224005074
876,355039561,38716004,Team0,1,5,2,9,7,25784,Team0,Y,1200,7743,7349,12459,1.0536127364267247,0.5375,2044489,2.5,1.4021852871852871,1.7829312736681466
877,463887599,38716004,Team0,2,6,0,12,0,26264,Team0,Y,287,2887,1350,3255,2.1385185185185187,0.5958188153310104,539128,0.0,0.8668615598493646,0.0
878,323155499,38716004,Team1,52,3,5,1,1,19410,Team0,N,1314,11989,8170,14806,1.4674418604651165,0.5958904109589042,2515900,0.6,1.9132154324925408,0.31360817491332843
879,1740248876,38716004,Team1,6,0,7,3,1,17072,Team0,N,811,6626,4950,9454,1.3385858585858583,0.5955610357583231,1544863,0.0,1.2029069441559086,0.0
880,1855051316,38716004,Team1,4,0,5,3,4,19218,Team0,N,494,4127,2778,5014,1.4856011519078474,0.5323886639676113,900719,0.0,1.0259298275323916,0.0
881,1577627958,38716004,Team1,7,3,5,1,0,20300,Team0,N,784,7413,4221,7591,1.756218905472637,0.5242346938775511,1511611,0.6,1.6322238477376816,0.36759663867895365
882,1150943406,38716004,Team0,19,13,4,8,2,26543,Team0,Y,587,4476,3738,7410,1.1974317817014446,0.5809199318568995,1041275,3.25,1.529043210106643,2.125512201694633
883,1533206301,38716004,Team0,25,4,1,6,1,27891,Team0,Y,532,4127,2011,5370,2.0522128294380906,0.5150375939849624,999537,4.0,1.4910563939156314,2.6826617801461454
884,90518762,38716004,Team0,31,5,3,18,1,23911,Team0,Y,408,2558,2108,5345,1.2134724857685009,0.5563725490196079,743366,1.6666666666666667,1.462968398463505,1.1392362736044728
885,117651401,38716004,Team1,50,7,9,2,1,26092,Team0,N,391,3405,2453,3676,1.3880962087240114,0.5294117647058824,711907,0.7777777777777778,1.6093880160844445,0.4832754873309358
886,1391556166,38716004,Team0,13,5,3,12,4,29899,Team0,Y,836,7604,5002,8097,1.5201919232307075,0.5586124401913876,1655158,1.6666666666666667,1.6273114050867548,1.0241842227965052
887,1850282852,38716004,Team1,12,0,7,7,2,19700,Team0,N,308,2275,1892,4755,1.202431289640592,0.6590909090909091,549805,0.0,1.1907850434166223,0.0
888,325425411,38716079,Team1,52,4,4,13,10,33010,Team0,N,1316,9618,7430,14699,1.2944818304172274,0.5098784194528876,2530090,1.0,1.9132154324925408,0.5226802915222141
889,147382596,38716079,Team0,13,9,6,17,0,37079,Team0,Y,1465,12453,7312,13819,1.7030908096280089,0.5296928327645051,2697530,1.5,1.6273114050867548,0.9217658005168546
890,1719325310,38716079,Team1,19,11,6,8,0,32620,Team0,N,243,1950,1507,2336,1.2939615129396151,0.5473251028806584,427112,1.8333333333333333,1.529043210106643,1.199006883007229
891,115071645,38716079,Team0,1,2,8,17,0,36367,Team0,Y,1127,10185,7020,9335,1.4508547008547008,0.5226264418811003,2086316,0.25,1.4021852871852871,0.17829312736681466
892,444231065,38716079,Team1,8,1,9,6,6,27160,Team0,N,190,973,1340,2103,0.7261194029850746,0.5684210526315789,321442,0.1111111111111111,0.8031221510729708,0.13834895596226143
893,1698289940,38716079,Team0,2,6,4,14,1,39983,Team0,Y,139,1372,708,1645,1.9378531073446328,0.6474820143884892,250373,1.5,0.8668615598493646,1.7303801085154318
894,387358125,38716079,Team0,31,7,4,16,2,38955,Team0,Y,396,4099,2152,4222,1.904739776951673,0.5378787878787878,723360,1.75,1.462968398463505,1.1961980872846962
895,324467536,38716079,Team1,27,13,8,11,0,30428,Team0,N,1230,12117,8118,12779,1.492609016999261,0.5219512195121951,2271114,1.625,1.4563440829223573,1.115807740118126
896,120853284,38716079,Team0,60,8,7,15,1,32071,Team0,Y,1564,16165,8857,16920,1.8251100824206845,0.5671355498721228,3051636,1.1428571428571428,1.3807280986557302,0.8277206380965395
897,300886209,38716079,Team1,16,2,6,13,0,28925,Team0,N,1272,8752,9575,13249,0.914046997389034,0.5055031446540881,2337737,0.3333333333333333,1.396399932583756,0.23870907292051163
898,1072428308,38716079,Team1,7,5,5,4,5,36609,Team0,N,299,2254,1698,3156,1.3274440518256774,0.5585284280936454,534061,1.0,1.6322238477376816,0.6126610644649227
899,457689577,38716079,Team0,25,6,7,9,4,40350,Team0,Y,1165,13478,8685,11595,1.5518710420264823,0.5639484978540773,2259714,0.8571428571428571,1.4910563939156314,0.5748560957456026
900,981430529,38716196,Team1,10,9,3,13,5,27706,Team1,Y,528,5447,2121,6099,2.568128241395568,0.5795454545454546,1020749,3.0,1.4188236679535984,2.114427654232022
901,1482863137,38716196,Team0,13,4,6,12,3,24279,Team1,N,1173,10312,6657,14235,1.5490461168694607,0.5294117647058824,2050908,0.6666666666666666,1.6273114050867548,0.409673689118602
902,1923434013,38716196,Team0,25,1,12,5,0,23895,Team1,N,51,466,233,521,2.0,0.7058823529411765,88118,0.08333333333333333,1.4910563939156314,0.055888787086378025
903,1274954495,38716196,Team1,6,10,5,15,3,28587,Team1,Y,1680,14536,12822,17528,1.133676493526751,0.5232142857142857,3250303,2.0,1.2029069441559086,1.6626390010604015
904,95947783,38716196,Team1,1,5,9,7,0,29965,Team1,Y,2038,16267,17695,21081,0.9192992370726194,0.5309126594700687,3708147,0.5555555555555556,1.4021852871852871,0.39620694970403264
905,259402581,38716196,Team1,50,4,6,13,4,29528,Team1,Y,1183,8766,7010,14095,1.2504992867332383,0.5249366018596788,2310554,0.6666666666666666,1.6093880160844445,0.4142361319979449
