account_id,p_total_matches_played,p_total_kills,p_total_deaths,p_total_wins,p_total_assists,p_total_time_played,p_avg_kills,p_win_rate
17756854,533,3741,3345,285,5756,1086351,7.018761726078799,0.5347091932457786
17825929,370,2148,2291,186,3676,743069,5.805405405405406,0.5027027027027027
18215340,470,3450,3000,256,4975,899600,7.340425531914893,0.5446808510638298
18537652,464,3031,3386,252,5340,964602,6.532327586206897,0.5431034482758621
18552818,589,4721,2996,301,7062,1211551,8.01528013582343,0.5110356536502547
18681224,261,1457,1314,143,3242,525852,5.582375478927203,0.5478927203065134
18808423,1084,4759,3636,551,12771,2343581,4.3902214022140225,0.5083025830258303
18809270,438,2943,2600,245,4979,848085,6.719178082191781,0.5593607305936074
19064677,249,2054,1694,162,2485,438238,8.248995983935743,0.6506024096385542
19375680,907,5333,5946,476,11003,1816059,5.879823594266814,0.5248070562293274
19701520,1183,8725,9996,604,10704,2374985,7.375316990701606,0.5105663567202029
20107931,796,5600,5296,398,8220,1549715,7.035175879396985,0.5
20561873,859,6644,5395,432,10256,1729550,7.7345750873108265,0.5029103608847497
21217538,1130,5952,10019,568,11064,2255814,5.267256637168142,0.5026548672566372
21371573,1101,6324,3972,555,9839,2275316,5.743869209809264,0.5040871934604905
21837393,651,3922,3188,351,7302,1350684,6.024577572964669,0.5391705069124424
21944150,924,6817,6033,478,8028,1907281,7.377705627705628,0.5173160173160173
22276920,865,6192,6966,446,6209,1764539,7.158381502890173,0.5156069364161849
22536497,1415,6370,10132,740,11941,2750145,4.501766784452297,0.5229681978798587
22553901,668,5201,3662,351,7828,1371334,7.7859281437125745,0.5254491017964071
22668900,533,2312,2764,273,5654,1023089,4.337711069418386,0.5121951219512195
22706938,979,6908,4472,483,10193,1971374,7.056179775280899,0.4933605720122574
22753747,429,3084,2493,225,4395,795635,7.188811188811189,0.5244755244755245
23240678,391,2324,2977,195,4625,674915,5.943734015345268,0.49872122762148335
23638238,444,2980,4035,242,5355,893204,6.711711711711712,0.545045045045045
24009418,1138,7861,6175,612,12673,2131175,6.907732864674868,0.5377855887521968
24195490,443,3128,3302,224,4815,826681,7.060948081264108,0.5056433408577878
24224794,1721,13213,12379,894,18019,3376775,7.677513073794306,0.5194654270772806
24255771,446,2401,2303,233,4362,856094,5.383408071748879,0.5224215246636771
24362522,683,6175,3412,427,8092,1230490,9.04099560761347,0.6251830161054173
24439769,940,6170,5038,515,10462,1624211,6.5638297872340425,0.5478723404255319
24578341,371,2356,1349,197,4925,719709,6.350404312668464,0.5309973045822103
24750365,788,6701,5084,411,8260,1505067,8.503807106598984,0.5215736040609137
24826186,561,4748,2550,286,5598,1125164,8.463458110516934,0.5098039215686274
24947831,2363,22551,16300,1212,18429,4510266,9.543377063055438,0.512907321201862
24965988,1679,9708,9835,898,20840,3163425,5.782013103037523,0.5348421679571174
25017556,406,3072,2292,228,4759,697239,7.566502463054187,0.5615763546798029
25107503,347,1744,1937,183,4161,678001,5.025936599423631,0.5273775216138329
25505848,618,3361,4220,329,6897,1286797,5.438511326860842,0.5323624595469255
25766064,874,6216,5561,452,10413,1777485,7.112128146453089,0.517162471395881
25821887,645,5979,3975,385,7206,1141372,9.269767441860465,0.5968992248062015
25971759,450,3947,2894,257,5511,881728,8.77111111111111,0.5711111111111111
26367400,382,2475,2758,192,3853,675393,6.479057591623037,0.5026178010471204
26452101,3335,26943,24657,1762,25963,6283812,8.078860569715143,0.5283358320839581
26488163,483,3253,3572,242,4215,961803,6.734989648033126,0.5010351966873706
26528456,361,2211,1787,189,4444,708756,6.124653739612189,0.5235457063711911
26671360,323,2485,2098,190,3055,538827,7.693498452012384,0.5882352941176471
26706698,236,1054,1005,120,2753,452482,4.466101694915254,0.5084745762711864
26825713,749,5416,4795,428,7886,1343101,7.230974632843791,0.5714285714285714
26865860,926,6629,5453,463,9666,1959716,7.158747300215983,0.5
26917867,409,3066,1887,217,4707,804086,7.496332518337408,0.530562347188264
26924944,450,2476,2515,221,5408,885096,5.502222222222223,0.4911111111111111
