match_id,team_0_win,p_total_time_played_min_diff,p_total_time_played_max_diff,p_total_time_played_mean_diff,p_total_time_played_std_diff,ph_wins_min_diff,ph_wins_max_diff,ph_wins_mean_diff,ph_wins_std_diff,ph_kills_min_diff,ph_kills_max_diff,ph_kills_mean_diff,ph_kills_std_diff,ph_deaths_min_diff,ph_deaths_max_diff,ph_deaths_mean_diff,ph_deaths_std_diff,ph_assists_min_diff,ph_assists_max_diff,ph_assists_mean_diff,ph_assists_std_diff,ph_damage_per_min_min_diff,ph_damage_per_min_max_diff,ph_damage_per_min_mean_diff,ph_damage_per_min_std_diff,ph_time_played_min_diff,ph_time_played_max_diff,ph_time_played_mean_diff,ph_time_played_std_diff,ph_total_kd_min_diff,ph_total_kd_max_diff,ph_total_kd_mean_diff,ph_total_kd_std_diff,ph_kd_ratio_min_diff,ph_kd_ratio_max_diff,ph_kd_ratio_mean_diff,ph_kd_ratio_std_diff,ph_time_played_ratio_min_diff,ph_time_played_ratio_max_diff,ph_time_played_ratio_mean_diff,ph_time_played_ratio_std_diff,ph_damage_per_min_ratio_min_diff,ph_damage_per_min_ratio_max_diff,ph_damage_per_min_ratio_mean_diff,ph_damage_per_min_ratio_std_diff,ph_assists_ratio_min_diff,ph_assists_ratio_max_diff,ph_assists_ratio_mean_diff,ph_assists_ratio_std_diff,ph_win_rate_ratio_min_diff,ph_win_rate_ratio_max_diff,ph_win_rate_ratio_mean_diff,ph_win_rate_ratio_std_diff
38840111,N,4940.0,-11830.0,-4579.333,-7643.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38840487,N,790.0,-5325.0,-5878.95,-2568.11,0.0,-5.0,-2.0,,16.0,-44.0,-11.333,,6.0,-24.0,-11.0,,36.0,-46.0,-0.667,,-20.523,-194.095,-82.577,,4452.0,-9627.0,-2263.333,,0.929,-0.778,0.298,,0.248,-2.101,-1.028,,1.025,-2.404,-0.712,,0.063,-0.147,-0.053,,1.302,-1.622,-0.058,,-0.308,-1.104,-0.715,
38840788,Y,-1532.0,2021.0,1508.0,199.201,-3.0,0.0,-2.0,,-51.0,-19.0,-40.8,,-23.0,-7.0,-14.4,,-47.0,-1.0,-31.2,,-1058.51,-429.218,-717.235,,-6820.0,-1481.0,-4391.0,,-1.511,-0.211,-0.824,,0.28,1.727,0.788,,-2.029,-0.734,-1.422,,-0.968,-0.548,-0.738,,-2.534,-0.41,-1.791,,-1.47,0.448,-0.639,
38841289,Y,318.0,-69.0,916.767,-119.787,0.0,3.0,1.333,,-1.0,19.0,12.333,,1.0,12.0,8.0,,-6.0,42.0,17.333,,-318.017,369.039,22.945,,118.0,4875.0,2656.667,,-0.333,0.5,0.193,,-0.434,0.729,-0.007,,-0.024,1.113,0.584,,-0.468,0.292,-0.078,,-0.23,1.343,0.548,,0.0,1.379,0.787,
38841944,N,674.0,-720.0,-1627.0,-1432.925,-1.0,3.0,0.667,,-77.0,-44.0,-62.667,,-50.0,-27.0,-40.0,,-65.0,1.0,-35.0,,-290.894,-171.245,-239.637,,-12900.0,-4524.0,-9265.667,,-0.087,-0.036,-0.066,,-0.067,0.391,0.13,,-2.944,-0.728,-2.007,,-0.39,-0.286,-0.354,,-3.334,-0.769,-2.287,,0.675,1.639,1.275,
38842260,Y,-3355.0,2394.0,-157.25,2972.821,-2.0,-1.0,-1.5,,-5.0,1.0,-2.0,,6.0,18.0,12.0,,-17.0,14.0,-1.5,,-388.375,-210.612,-299.494,,3429.0,4226.0,3827.5,,-1.583,-0.743,-1.163,,0.39,2.155,1.273,,0.684,0.711,0.698,,-0.142,-0.094,-0.118,,-0.708,-0.088,-0.398,,-1.532,-1.218,-1.375,
38842413,Y,6234.0,15006.0,10305.333,4312.616,10.0,8.0,9.333,,94.0,64.0,78.0,,129.0,103.0,117.333,,249.0,205.0,229.667,,-58.36,-1140.431,-537.708,,31291.0,25755.0,28421.667,,0.791,-2.098,-0.659,,1.367,0.231,0.772,,7.684,6.453,7.006,,0.07,-1.14,-0.501,,10.023,7.67,8.928,,0.285,-0.939,-0.242,
38842829,N,1805.0,10050.0,7595.55,4108.598,0.0,2.0,1.5,,2.0,56.0,33.75,,-2.0,28.0,19.0,,0.0,101.0,56.75,,60.83,531.617,262.96,,-571.0,11249.0,6700.25,,0.381,1.261,0.854,,-3.097,-1.95,-2.764,,-0.102,2.742,1.654,,-0.046,0.495,0.249,,0.057,3.411,2.079,,0.0,0.864,0.494,
38844909,N,-8951.0,-3161.0,-4143.667,549.749,-1.0,2.0,0.2,,-36.0,1.0,-18.0,,-30.0,-8.0,-19.2,,-49.0,7.0,-20.8,,-520.322,327.298,-31.499,,-10056.0,-1286.0,-5012.0,,-0.857,0.529,-0.035,,-0.457,9.232,2.055,,-2.288,-0.19,-1.048,,-0.53,0.52,0.063,,-2.065,0.606,-0.757,,-0.278,1.043,0.203,
38845004,Y,3633.0,-5577.0,3350.467,-3150.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
